COD_RH; COD_PRODUCTO; REVISTA; ISSN/ISBN; LIBRO/REVISTA_ORIGINAL_TRAD; NOMBRE_LIBRO/REVISTA_TRAD; NOMRE_AUTOR_ORIGINAL_TRAD; IDIOMA_ORIGINAL; IDIOMA_TRADUCCION; NOMBRE_CAPITULO; FASCICULO; PAGINA_INICIAL; PAGINA_FINAL
0000228958;108;Defence Science Journal;0011748X;;;;;;;4;386;392;
0000228958;109;Ingeniería E Investigación;01205609;;;;;;;2;208;226;
0000228958;110;Información Tecnológica;07180764;;;;;;;1;65;78;
0000228958;111;Ieee Transactions On Plasma Science;00933813;;;;;;;3;839;848;
0000228958;112;Tecnura;22487638;;;;;;;23;32;45;
0000228958;113;Ieee Transactions On Electromagnetic Compatibility;00189375;;;;;;;2;393;403;
0000228958;114;Ieee Transactions On Power Delivery;08858977;;;;;;;4;2185;2190;
0000228958;115;2002 Annual Report Conference on Electrical Insulation and Dielectric Phenomena IEEE CEIDP 2002;0;;;;;;;;805;809;
0000228958;116;Ii Congreso Internacional Sobre Uso Eficiente Y Racional De La Energía  Ciuree2006;16927052;;;;;;;54;36;41;
0000228958;117;;;;;;;;;;;;
0000228958;118;Wseas Transactions On Information Science And Applications;17900832;;;;;;;NA;106;110;
0000228958;119;Wseas Transactions On Information Science And Applications;17900832;;;;;;;NA;101;105;
0000228958;120;Revista Mundo Electrico Colombiano;01208926;;;;;;;39;120;123;
0000228958;121;Revista Mundo Electrico Colombiano;01208926;;;;;;;45;97;99;
0000228958;122;Revista Mundo Electrico Colombiano;01208926;;;;;;;44;24;27;
0000228958;123;Revista Mundo Electrico Colombiano;01208926;;;;;;;43;92;93;
0000228958;124;Revista Mundo Electrico Colombiano;01208926;;;;;;;42;66;71;
0000228958;125;Revista Mundo Electrico Colombiano;01208926;;;;;;;41;87;89;
0000228958;126;Revista Mundo Electrico Colombiano;01208926;;;;;;;40;115;118;
0000228958;127;Revista Mundo Electrico Colombiano;01208926;;;;;;;38;77;80;
0000228958;128;Mundo Eléctrico Colombiano;0120892;;;;;;;37;149;153;
0000228958;129;Revista Mundo Electrico Colombiano;01208926;;;;;;;36;104;108;
0000228958;130;Revista Mundo Electrico Colombiano;01208926;;;;;;;35;117;120;
0000228958;131;Revista Mundo Electrico Colombiano;01208926;;;;;;;34;100;104;
0000228958;132;Revista Mundo Electrico Colombiano;01208926;;;;;;;34;77;83;
0000228958;133;Journal Of Electrostatics;03043886;;;;;;;1;99;120;
0000228958;134;Journal Of Electrostatics;03043886;;;;;;;1999;99;120;
0000228958;135;Revista Mundo Electrico Colombiano;01208926;;;;;;;33;123;127;
0000228958;136;Revista Mundo Electrico Colombiano;01208926;;;;;;;33;113;117;
0000228958;137;Revista Mundo Electrico Colombiano;01208926;;;;;;;32;121;121;
0000228958;138;Ieee Transactions On Dielectrics And Electrical Insulation;10709878;;;;;;;4;622;624;
0000228958;139;Journal Of Electrostatics;03043886;;;;;;;;483;488;
0000228958;140;Journal Of Electrostatics;03043886;;;;;;;;67;78;
0000228958;141;Revista Mundo Electrico Colombiano;01208926;;;;;;;50;90;93;
0000228958;142;Proceedings Of The Viii International Symposium On Lightning Protection Sipda Sao Paolo Brazil 2005;16769899;;;;;;;NA;218;223;
0000228958;143;Revista Mundo Electrico Colombiano;01208926;;;;;;;35;115;117;
0000228958;144;Ieee Transactions On Plasma Science;00933813;;;;;;;1;173;181;
0000228958;145;Ieee Transactions On Electromagnetic Compatibility;00189375;;;;;;;4;754;763;
0000228958;146;Ieee Transactions On Plasma Science;00933813;;;;;;;4;985;991;
0000228958;147;Ieee Transactions On Plasma Science;00933813;;;;;;;12;3433;3441;
0000228958;148;X Sipda International Symposium On Lightning Protection;21762759;;;;;;;1;271;;
0000228958;149;Proceedings Of The Viii International Symposium On Lightning Protection Sipda Sao Paolo Brazil 2005;16769899;;;;;;;NA;461;;
0000228958;150;Wseas Transactions On Information Science And Applications;17900832;;;;;;;10;1607;1618;
0000228958;151;Ieee International Conference On Plasma Science;07309244;;;;;;;NA;1;1;
0000228958;152;Tecnura;0123921X;;;;;;;15;32;45;
0000228958;153;Aciem;01204904;;;;;;;1;1;;
0000228958;154;VI International Symposium on Lightning Protection VI Sipda Santos Brazil 19  23 Nov 2001;0;;;;;;;1;89;;
0000228958;155;21 st International Conference on Lightning Protection 1992;380071885;;;;;;;1;1;;
0000228958;156;Ingeniería E Investigación;01205609;;;;;;;4;35;;
0000228958;157;Proceedings of the 9th International Symposium on High Voltage Engineering ISH;0;;;;;;;1;1;;
0000228958;158;Ingeniería E Investigación;01205609;;;;;;;2;33;;
0000228958;159;Aciem;01204904;;;;;;;1;1;;
0000228958;160;ISH Delf Holanda 2003;907701779;;;;;;;NA;1;;
0000228958;161;ISH Delf Holanda 2003;907701779;;;;;;;NA;1;;
0000228958;162;Aciem;01204904;;;;;;;1;1;;
0000228958;163;ISH Delf Holanda 2003;907701779;;;;;;;NA;1;;
0000228958;164;Iet Generation Transmission And Distribution;17518695;;;;;;;1;131;138;
0000228958;165;Proceedings Of The Viii International Symposium On Lightning Protection Sipda Sao Paolo Brazil 2005;16769899;;;;;;;NA;1;;
0000228958;166;VI International Symposium on Lightning Protection VI Sipda Santos Brazil 19  23 Nov 2001;0;;;;;;;1;1;;
0000228958;167;Ingeniería E Investigación;01205609;;;;;;;3;30;;
0000228958;168;Proceedings Of The Viii International Symposium On Lightning Protection Sipda Sao Paolo Brazil 2005;16769899;;;;;;;NA;1;5;
0000228958;169;Ingeniería E Investigación;01205609;;;;;;;22;34;;
0000228958;170;21 st International Conference on Lightning Protection 1992;380071885;;;;;;;1;1;;
0000228958;171;Wseas Transactions On Information Science And Applications;17900832;;;;;;;10;1595;1606;
0000228958;172;Proceedings Of The Viii International Symposium On Lightning Protection Sipda Sao Paolo Brazil 2005;16769899;;;;;;;NA;1;;
